Game,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8 ,Trial 9 ,Trial 10
300,11,25,15,12,3,10,14,9,19,17
301,10,15,3,5,4,12,6,18,13,3
302,14,11,15,13,12,11,18,19,21,16
303,7,13,13,12,7,13,4,10,22,5
304,4,18,10,23,6,9,9,15,7,18
305,14,8,17,7,13,9,10,19,10,7
306,17,19,6,19,15,6,20,13,16,17
307,16,15,18,10,8,8,8,19,17,10
308,19,13,4,17,10,20,23,10,22,12
309,13,8,22,3,11,17,12,19,9,24
310,13,3,7,14,12,3,14,18,6,9
311,8,8,6,19,14,7,16,16,22,9
312,17,13,10,8,7,4,19,15,6,27
313,17,9,12,14,3,9,15,10,20,17
314,8,7,16,16,18,20,18,7,19,18
315,9,11,6,10,13,18,12,7,10,12
316,3,18,8,4,13,10,15,28,7,17
317,10,12,10,4,12,12,10,12,16,18
318,18,16,17,13,8,14,10,10,14,16
319,9,5,5,8,0,11,17,10,8,23
320,11,9,7,19,16,8,15,10,0,18
321,18,18,15,8,7,15,7,15,15,6
322,11,15,8,18,8,16,9,11,18,16
323,14,8,10,7,16,19,5,10,10,13
324,9,14,6,20,14,9,19,19,21,16
325,9,9,7,5,16,11,11,9,16,12
326,20,10,4,9,6,15,9,20,11,17
327,16,10,18,5,6,19,17,19,3,17
328,8,13,17,10,22,14,15,8,4,5
329,21,7,7,10,9,18,6,13,17,17
330,18,6,26,26,9,8,6,12,23,12
331,14,16,5,15,5,10,5,30,18,13
332,10,10,5,10,17,13,3,6,3,16
333,19,7,17,5,14,14,6,5,7,6
334,10,18,9,16,16,20,2,16,5,13
335,11,17,19,4,16,15,13,5,7,19
336,9,10,10,16,6,13,7,8,4,6
337,12,14,14,15,17,5,10,9,15,7
338,13,14,12,12,6,13,11,8,18,9
339,12,13,10,8,7,6,17,19,16,10
340,5,16,12,18,20,19,14,17,19,5
341,10,10,9,10,18,6,18,6,18,16
342,16,10,7,14,16,12,10,10,18,8
343,12,13,0,9,8,19,10,8,11,6
344,11,23,6,19,10,7,14,17,23,6
345,4,7,5,17,10,12,8,6,7,11
346,26,7,14,16,5,11,13,0,8,7
347,13,20,2,9,12,15,16,17,17,14
348,21,19,14,9,10,15,9,19,19,13
349,11,5,7,7,20,18,11,16,16,10
350,5,13,6,4,5,17,17,10,5,14
351,12,10,5,24,9,10,13,31,17,7
352,5,10,11,6,13,16,16,7,2,11
353,7,13,8,26,7,15,18,6,3,14
354,11,13,13,1,13,7,6,11,19,10
355,8,11,2,10,3,19,10,8,19,2
356,9,15,13,5,6,19,15,6,26,7
357,14,13,17,15,4,7,8,21,10,8
358,18,0,8,7,14,16,13,17,25,14
359,8,6,11,17,9,17,7,18,9,18
360,17,9,15,18,12,4,13,14,6,8
361,7,12,16,13,17,0,18,6,22,14
362,9,18,12,9,14,4,9,16,17,19
363,18,9,3,19,15,3,13,5,12,19
364,14,4,7,20,17,5,12,11,7,8
365,16,13,12,5,6,18,7,17,7,18
366,17,5,18,16,12,10,6,6,17,9
367,15,10,8,16,17,18,13,16,4,5
368,21,16,9,10,3,15,10,13,15,20
369,10,16,10,12,12,19,9,15,6,21
370,15,4,6,5,17,7,8,20,15,9
371,8,10,13,13,11,11,12,10,11,17
372,21,20,23,17,10,16,7,6,17,12
373,16,12,25,15,11,11,6,10,16,8
374,3,19,4,6,4,14,9,9,10,10
375,14,5,2,12,17,14,4,19,8,7
376,17,5,16,17,11,19,15,10,12,18
377,15,10,5,12,17,8,13,9,9,14
378,6,10,19,12,12,10,18,7,12,23
379,7,17,8,18,16,15,20,14,12,10
380,6,21,10,10,12,14,7,15,14,17
381,20,15,6,4,16,14,8,5,9,8
382,12,12,30,16,13,9,13,12,15,5
383,10,8,14,17,7,5,7,19,5,10
384,14,19,7,17,12,16,10,19,16,14
385,5,9,8,9,4,5,4,9,13,6
386,15,4,17,15,12,16,9,15,15,18
387,18,13,14,21,13,9,14,8,11,6
388,9,17,14,16,18,4,7,6,15,9
389,11,20,22,18,10,22,8,18,15,8
390,16,14,11,20,11,5,18,3,14,6
391,15,16,17,8,17,14,13,14,8,11
392,20,24,13,11,19,7,30,8,6,11
393,15,11,1,10,13,7,13,13,13,7
394,9,8,15,14,19,1,18,10,15,12
395,17,10,7,21,12,10,9,12,12,15
396,9,9,12,14,4,14,15,20,9,12
397,6,16,18,10,10,6,4,18,15,16
398,11,9,18,8,13,8,16,13,20,9
399,15,9,9,13,14,5,9,14,5,17
400,16,18,3,5,18,10,17,8,13,17
401,17,11,5,21,1,19,17,5,14,19
402,12,13,16,20,12,19,15,6,12,14
403,19,14,9,13,12,14,13,19,9,9
404,21,10,5,12,17,9,15,19,11,28
405,12,13,11,21,18,9,14,21,6,5
406,7,12,9,15,15,19,11,8,14,13
407,15,12,6,8,14,15,8,18,7,11
408,23,20,8,9,16,20,2,8,15,19
409,16,17,15,16,22,6,3,8,4,12
410,15,15,12,9,8,21,9,12,12,12
411,15,15,16,7,6,7,9,5,16,4
412,9,20,15,10,6,10,20,8,14,9
413,19,13,13,14,17,4,15,8,18,20
414,19,17,14,4,7,17,18,10,17,13
415,17,11,10,12,13,7,18,9,13,11
416,10,8,1,7,18,6,12,5,22,14
417,14,9,17,4,22,10,11,14,13,16
418,13,21,11,21,21,2,20,11,19,10
419,8,20,15,15,12,13,9,21,16,10
420,13,11,7,16,10,7,12,13,8,18
421,11,4,12,7,18,16,24,10,17,17
422,12,12,19,5,13,6,7,18,13,18
423,16,21,19,10,19,5,17,1,7,18
424,8,9,9,13,17,19,18,5,1,1
425,7,5,18,9,14,15,7,9,15,6
426,9,6,19,12,7,14,7,8,22,17
427,15,12,3,22,11,5,9,19,14,15
428,16,9,9,6,11,9,12,10,12,17
429,12,14,12,8,13,11,17,11,10,10
430,7,10,16,9,19,4,11,19,21,9
431,8,11,9,9,13,13,2,6,4,5
432,2,23,17,15,3,17,6,1,18,6
433,10,15,2,2,6,4,9,10,15,15
434,16,8,18,11,15,11,9,12,12,13
435,10,12,7,7,16,11,13,17,21,12
436,12,5,16,6,7,14,15,13,13,6
437,20,17,19,8,12,11,12,10,17,9
438,6,22,12,21,9,12,11,3,8,2
439,5,23,11,13,4,17,5,16,11,10
440,16,5,26,24,16,20,4,14,11,21
441,6,5,13,2,20,5,17,18,4,9
442,10,19,4,11,14,10,13,8,5,7
443,16,18,11,10,15,7,11,20,20,15
444,0,12,22,12,14,10,14,5,12,25
445,15,15,18,16,7,3,6,7,12,14
446,13,5,15,8,15,24,4,18,7,11
447,7,15,17,11,17,4,18,12,6,15
448,10,13,4,7,19,11,11,16,15,14
449,17,5,11,17,15,6,22,4,13,8
450,21,10,3,11,25,8,11,17,6,16
451,17,19,19,20,5,8,6,14,17,23
452,19,14,10,6,6,9,7,19,16,14
453,15,12,10,18,18,9,6,8,7,9
454,6,18,14,10,12,19,17,14,19,10
455,4,20,13,18,25,12,9,15,11,9
456,12,6,14,5,8,21,14,18,11,10
457,16,7,16,14,13,8,4,13,18,9
458,8,16,19,10,17,8,6,10,6,6
459,9,8,10,7,19,11,11,9,19,21
460,15,10,18,13,18,9,10,9,17,8
461,22,20,6,14,12,12,5,15,13,9
462,11,23,4,18,9,8,18,21,20,8
463,16,15,14,20,19,5,5,14,9,1
464,11,5,4,8,11,17,21,12,14,16
465,16,18,18,24,7,19,20,14,10,4
466,8,2,13,22,6,15,20,27,4,18
